word,home_row_score,bigram_bonus,frequency_score,movement_cost
the,0,0,84,8
and,10,0,58,2
to,0,0,50,4
of,5,0,29,6
a,5,0,25,0
in,0,0,41,8
was,10,0,51,3
that,5,0,97,10
he,0,0,56,3
not,0,0,70,13
his,5,0,58,15
her,0,0,74,4
it,0,0,48,3
you,0,0,37,5
had,10,0,56,2
with,0,0,73,14
for,5,0,47,11
she,5,0,75,4
as,10,0,44,1
on,0,0,43,9
is,5,0,40,7
at,5,0,52,5
be,0,0,43,3
him,0,0,46,16
have,5,0,84,3
said,15,0,77,15
from,5,0,54,15
but,0,0,40,9
me,0,0,45,3
my,0,0,13,6
were,0,0,101,3
they,0,0,89,11
all,15,0,49,6
by,0,0,10,6
this,5,0,85,20
would,10,0,63,14
do,5,0,35,7
out,0,0,58,4
up,0,0,14,3
one,0,0,81,12
so,5,0,42,8
an,5,0,45,0
could,10,0,64,16
or,0,0,40,5
been,0,0,101,6
them,0,0,91,11
did,10,0,46,12
we,0,0,45,1
are,5,0,81,5
what,5,0,77,7
there,0,0,140,10
about,5,0,87,13
which,0,0,73,18
their,0,0,122,17
into,0,0,91,17
like,10,0,73,9
if,5,0,28,5
who,0,0,48,11
when,0,0,84,8
no,0,0,43,9
can,5,0,53,0
will,10,0,52,8
your,0,0,55,8
back,10,10,40,5
time,0,0,93,14
more,0,0,86,15
know,5,0,52,21
then,0,0,104,11
man,5,0,52,0
down,5,0,63,16
over,0,0,82,13
now,0,0,50,16
some,5,0,87,20
just,10,0,55,13
see,5,0,95,2
only,5,0,61,17
than,5,0,90,5
other,0,0,124,13
way,5,0,38,8
has,10,0,62,1
before,5,0,128,17
two,0,0,57,10
little,10,0,138,13
get,0,0,71,5
very,0,0,65,6
any,5,0,51,6
go,0,0,29,9
made,10,0,83,3
too,0,0,72,4
here,0,0,112,5
never,0,0,117,10
eyes,5,0,101,8
think,5,0,89,26
thought,0,0,128,28
again,10,0,96,16
through,0,0,119,23
even,0,0,99,9
much,0,0,42,14
good,5,0,64,16
off,10,0,36,6
us,5,0,27,6
first,10,0,92,16
our,0,0,49,5
how,0,0,48,16
where,0,0,120,7
after,10,0,114,8
looked,15,0,110,12
come,0,0,76,21
its,5,0,67,7
came,5,0,78,3
right,0,0,90,17
away,10,0,62,10
long,5,0,61,12
old,10,0,47,7
going,0,0,76,18
still,15,0,91,9
day,10,0,43,8
got,0,0,56,13
say,10,0,49,7
hand,10,0,76,2
went,0,0,93,9
head,10,0,94,8
should,15,0,93,17
face,10,0,78,6
own,0,0,50,9
make,10,0,72,9
s,5,0,19,0
well,10,0,69,6
asked,20,0,97,10
life,10,0,78,9
must,5,0,62,17
himself,15,0,122,27
people,5,0,122,23
want,5,0,79,7
around,10,0,106,20
might,0,0,80,21
something,5,0,180,43
room,0,0,70,14
take,10,0,92,14
knew,5,0,68,9
took,5,0,75,8
such,5,0,54,13
told,10,0,75,11
men,0,0,66,6
door,5,0,76,12
left,10,0,84,9
being,0,0,90,16
last,15,0,83,11
because,10,0,141,21
look,10,0,59,7
night,0,0,93,21
those,5,0,125,24
these,5,0,141,12
house,5,0,106,19
tell,10,0,89,7
saw,10,0,51,3
another,5,0,169,22
while,5,0,96,17
most,5,0,76,21
turned,5,0,125,13
put,0,0,41,5
felt,10,0,84,10
woman,5,0,82,16
great,5,0,114,13
place,10,0,89,13
upon,0,0,57,13
Mr.,0,0,18,8
years,10,0,105,13
without,0,0,131,27
found,10,0,70,17
always,20,0,93,25
am,5,0,32,0
nothing,0,0,135,34
though,0,0,101,23
against,15,0,142,21
same,10,0,89,4
father,10,0,133,17
home,0,0,86,21
many,5,0,58,6
work,5,0,50,15
let,5,0,77,7
seemed,10,0,153,9
things,5,0,112,22
few,5,0,52,3
mother,0,0,131,22
thing,0,0,93,21
ever,0,0,97,7
may,5,0,38,6
love,5,0,76,15
every,0,0,103,9
voice,0,0,93,21
three,0,0,140,10
hands,15,0,95,3
once,0,0,89,12
mind,5,0,61,18
enough,0,0,113,21
under,5,0,97,11
heard,10,0,112,12
young,0,0,63,12
moment,0,0,123,29
new,0,0,65,4
find,10,0,61,15
also,15,0,78,19
between,0,0,173,12
side,10,0,91,14
does,10,0,92,15
each,5,0,89,3
world,10,0,72,20
wanted,10,0,130,10
anything,5,0,143,28
both,0,0,72,18
until,5,0,89,17
really,15,0,111,12
called,20,0,108,12
give,0,0,68,19
herself,15,0,150,17
better,0,0,153,8
looking,10,0,107,18
sure,5,0,83,10
began,5,0,93,6
Yes,5,0,57,5
behind,5,0,115,24
next,0,0,86,11
course,5,0,114,19
yet,0,0,71,5
far,10,0,49,7
seen,5,0,115,5
stood,10,0,104,15
name,5,0,90,3
small,20,0,75,7
gave,5,0,72,3
done,5,0,94,19
almost,15,0,113,33
need,5,0,109,4
why,0,0,31,8
Oh,0,0,18,0
God,5,0,35,16
light,5,0,85,15
end,5,0,71,5
morning,0,0,115,34
sat,10,0,71,6
heart,5,0,126,11
days,15,0,62,13
white,0,0,112,15
water,5,0,115,10
girl,5,0,57,16
part,5,0,75,15
help,5,0,74,12
half,15,0,62,9
words,10,0,79,15
feel,10,0,95,7
since,5,0,107,18
set,5,0,84,4
open,0,0,87,11
across,15,0,111,17
body,5,0,46,20
together,0,0,195,27
gone,0,0,87,21
keep,5,0,84,11
along,10,0,85,18
Mrs.,5,0,37,8
kind,10,0,56,13
bed,5,0,55,4
front,5,0,95,20
black,15,10,52,17
quite,0,0,95,12
hair,5,0,82,12
hard,10,0,74,6
myself,15,0,89,21
shall,20,0,86,7
already,20,0,136,20
mean,5,0,90,6
used,10,0,78,9
soon,5,0,84,17
family,15,0,77,15
feet,5,0,110,4
